"","logFC","logCPM","F","PValue","FDR","Population"
"ATF7IP2",0.625234889822285,7.05788026334058,21.4695257769595,4.34432170111841e-05,0.000197051145671067,"CD8T_LOMGlow_1"
"MSL3",0.62487598324979,6.85744835199232,25.9230372487353,1.02400258143159e-05,5.6591520754735e-05,"CD8T_LOMGlow_1"
"MPP7",0.624535601539192,6.51097253470625,31.2023041125133,2.17792742025679e-06,1.45567456635966e-05,"CD8T_LOMGlow_1"
"NFKB1",0.622619741664135,7.82901303149551,20.5997467793324,6.30436527024233e-05,0.000271626095941019,"CD8T_LOMGlow_1"
"RNF149",-0.621819160979146,7.43552345764011,34.2241646171869,9.49442481092763e-07,7.31491645531567e-06,"CD8T_LOMGlow_1"
"BCL11B",0.621588933983142,8.87784287894776,61.6216167144637,1.93750710436118e-09,3.9354040405466e-08,"CD8T_LOMGlow_1"
"PFN1",-0.620291019822017,11.9926615036242,85.1791100275204,3.35877014024649e-11,1.22165499984779e-09,"CD8T_LOMGlow_1"
"PPIB",-0.620158673242608,9.44756793109162,84.1288544323422,3.95429303082233e-11,1.37433651115692e-09,"CD8T_LOMGlow_1"
"IDS",-0.613088026642418,7.85075984624468,20.1499513024782,7.03074382338862e-05,0.000299620799449041,"CD8T_LOMGlow_1"
"CNST",0.610739968216671,6.90039714399012,34.8428076755336,8.04681728472945e-07,6.35617284510953e-06,"CD8T_LOMGlow_1"
"DBI",-0.610155520599218,8.18017063158441,54.6311694096944,7.81706528408059e-09,1.35843223381134e-07,"CD8T_LOMGlow_1"
"DNAJC4",0.607416235668947,6.59197722867027,23.6313863920531,2.0942854596194e-05,0.000107041256824991,"CD8T_LOMGlow_1"
"KLF12",-0.606834459184984,7.68205980660009,40.834893645743,1.742939821295e-07,1.71791170303742e-06,"CD8T_LOMGlow_1"
"TBC1D10A",0.605036241996218,6.6342143582798,32.3142746534708,1.59753562640815e-06,1.14088845648509e-05,"CD8T_LOMGlow_1"
"FMNL1",-0.603445644098571,7.95693905130602,30.4181613283459,2.71861978154463e-06,1.78652157072933e-05,"CD8T_LOMGlow_1"
"RNPEPL1",-0.602634216004768,7.75023160084086,50.8730335630865,1.73191765215521e-08,2.73608000805127e-07,"CD8T_LOMGlow_1"
"LAGE3",0.602594842741487,6.65764698707711,25.0343125269994,1.34692782278306e-05,7.26412108563003e-05,"CD8T_LOMGlow_1"
"NSA2",0.600795897279567,9.0405045001225,47.9898082281436,3.26578331304833e-08,4.37537733767717e-07,"CD8T_LOMGlow_1"
"IGSF8",0.599512260825892,6.5677382877978,33.7395254564009,1.08195000138411e-06,8.21441651536285e-06,"CD8T_LOMGlow_1"
"CD8B",0.595543858003022,10.7841358412854,49.183894425593,2.50473407246574e-08,3.59394870581322e-07,"CD8T_LOMGlow_1"
"PRMT2",0.595171465370668,8.99609980877725,20.8168312575025,6.24406083313491e-05,0.000269771026050359,"CD8T_LOMGlow_1"
"ARPC4",-0.59471139438258,8.2719636905557,37.6523026592721,3.86592593800623e-07,3.30399353390259e-06,"CD8T_LOMGlow_1"
"GYPC",0.591606343559968,9.34713916554659,39.7903301204114,2.25525077797666e-07,2.1248266365997e-06,"CD8T_LOMGlow_1"
"ARF1",-0.590954955073904,8.52211658020278,62.1810548221176,1.74047042365124e-09,3.58576133558783e-08,"CD8T_LOMGlow_1"
"LMBR1",0.590923970293934,6.81042039276622,13.3210793381711,0.000846437899695887,0.00265829091390435,"CD8T_LOMGlow_1"
"SH3KBP1",-0.589793720241019,8.3588412593224,53.5094874543571,9.87689931536796e-09,1.69752423398192e-07,"CD8T_LOMGlow_1"
"SMAP2",0.586919302283823,8.91592343818543,19.951018192589,8.28448160005215e-05,0.00034830454899144,"CD8T_LOMGlow_1"
"PLCG1",0.586132322049688,7.10483281374435,24.3519517660636,1.66721520046141e-05,8.75008246148204e-05,"CD8T_LOMGlow_1"
"PREX1",-0.585367626509475,7.35050914344694,35.4037859434763,6.93476159010475e-07,5.53365669741012e-06,"CD8T_LOMGlow_1"
"LDHA",-0.584744352010508,8.50869444089609,20.8267416372992,5.77998406494262e-05,0.00025251103568632,"CD8T_LOMGlow_1"
"SNRK",0.581955613453696,7.72270736694832,40.479814244101,1.90173441087511e-07,1.82473166785808e-06,"CD8T_LOMGlow_1"
"LETMD1",0.580896438728228,6.81135456768838,31.5002213237628,2.00336018973959e-06,1.37423479682137e-05,"CD8T_LOMGlow_1"
"BIRC2",0.579199908019597,6.6191532490132,26.848495065883,7.7308951746885e-06,4.34932376014849e-05,"CD8T_LOMGlow_1"
"LITAF",-0.579080603892499,8.86391679303997,24.4782892772717,1.72370743761109e-05,8.95640675223836e-05,"CD8T_LOMGlow_1"
"RAB5C",-0.574089391445989,7.45724310545556,45.9151068389746,5.22631481280818e-08,6.4361861159307e-07,"CD8T_LOMGlow_1"
"PRDX6",0.570527865856779,8.2841096711743,34.6521396381613,8.46638284374458e-07,6.59202522618449e-06,"CD8T_LOMGlow_1"
"CAPZA1",-0.570480562468628,7.66503268602018,36.5763586202521,5.10133605992266e-07,4.22142306757621e-06,"CD8T_LOMGlow_1"
"FAM200B",0.569665972689632,6.48765405140617,29.564157066331,3.47203191158506e-06,2.22920119173983e-05,"CD8T_LOMGlow_1"
"EMB",-0.56936745852187,8.04418485309941,27.2037494593337,6.9481611589174e-06,3.98055826100616e-05,"CD8T_LOMGlow_1"
"IL17RA",0.56900789976182,6.67227629467037,21.9513764762326,3.60564818493886e-05,0.000167336313390041,"CD8T_LOMGlow_1"
"MYL6",-0.566843150895153,10.3410567303488,58.568361980129,3.51786867656486e-09,6.62885133752704e-08,"CD8T_LOMGlow_1"
"C1orf162",0.564951676757132,7.46729700029853,10.8160748500662,0.00239984088043123,0.00657329446058572,"CD8T_LOMGlow_1"
"GIMAP1",0.559868278003956,8.22283180816347,15.4993797122522,0.000389944372268518,0.00136436912355249,"CD8T_LOMGlow_1"
"TBCB",-0.559529182501418,7.60390222692662,31.3336619210311,2.09905789547622e-06,1.42118032403671e-05,"CD8T_LOMGlow_1"
"LTA4H",0.557826954966109,7.00042454547642,27.2222208075508,6.90982222885367e-06,3.97314778159086e-05,"CD8T_LOMGlow_1"
"NACA",0.557553663982423,12.3248637975248,88.73602529288,1.95250982724681e-11,8.0361193942474e-10,"CD8T_LOMGlow_1"
"MAP1LC3B",-0.556381370631328,7.80265941335424,31.8851757194422,1.79936204486324e-06,1.25075655029605e-05,"CD8T_LOMGlow_1"
"CLNS1A",0.556227198745958,7.54957138541426,42.4131282685027,1.18877972181511e-07,1.26089077310826e-06,"CD8T_LOMGlow_1"
"ARF6",-0.556094352016394,8.15424509782788,42.8539970060038,1.06976442421324e-07,1.16188302740938e-06,"CD8T_LOMGlow_1"
"LSM5",0.554524477285583,7.45693838565124,27.6353352139528,6.1082124582983e-06,3.61865313817369e-05,"CD8T_LOMGlow_1"
"PDIA3",-0.551068920739263,9.06826982706618,39.7390430289605,2.28417878168285e-07,2.12646167532855e-06,"CD8T_LOMGlow_1"
"EIF3L",0.549624944070408,9.10818090128903,28.0101813950215,5.46826593166525e-06,3.27676931690592e-05,"CD8T_LOMGlow_1"
"GUK1",-0.548177425833811,8.8639624614,48.9158780312125,2.65754963923868e-08,3.75578253636743e-07,"CD8T_LOMGlow_1"
"DYNC1H1",-0.547183292239927,7.13799586828346,25.7085126133322,1.09363144388147e-05,6.00154237975655e-05,"CD8T_LOMGlow_1"
"CYRIB",-0.546153057353258,8.11499740414874,28.5695896948971,4.6358733053714e-06,2.85452986204759e-05,"CD8T_LOMGlow_1"
"CARD16",-0.543930709273039,7.42634838167756,20.8094470112575,5.26709749253952e-05,0.000233363752927247,"CD8T_LOMGlow_1"
"ATM",0.54266001215599,8.86971682340807,31.4211295780692,2.0482158452903e-06,1.3988688131153e-05,"CD8T_LOMGlow_1"
"PPP1R2",0.541739056071242,8.36135470222443,36.0159806538492,5.90382564173755e-07,4.80915797066538e-06,"CD8T_LOMGlow_1"
"PTP4A2",-0.541587933915821,9.20553226662512,47.8523801715915,3.3678684637322e-08,4.46385277735353e-07,"CD8T_LOMGlow_1"
"GNB2",-0.539800034814409,8.17151440882873,50.1665422954082,2.01910629111017e-08,2.97913418801538e-07,"CD8T_LOMGlow_1"
"PIK3R1",-0.539578513547409,8.27906843507583,18.6029253119032,0.000118975357969417,0.000480820309726532,"CD8T_LOMGlow_1"
"ORAI1",-0.534985766027768,7.54288949931834,27.5163104002785,6.32857872114074e-06,3.70707757298281e-05,"CD8T_LOMGlow_1"
"GIMAP2",0.534862419151432,7.0837879360357,11.8340994659217,0.00152033435914428,0.00441970806264248,"CD8T_LOMGlow_1"
"SNRPN",0.533589365125142,7.6399364944366,28.354844401141,4.9374622439573e-06,3.02831017629381e-05,"CD8T_LOMGlow_1"
"CANX",-0.532543146741465,8.01727102859887,28.779601398754,4.35967622947251e-06,2.69507257821937e-05,"CD8T_LOMGlow_1"
"PQBP1",0.531697978250236,7.04368493430103,35.7611859464169,6.31176239734751e-07,5.06235712279564e-06,"CD8T_LOMGlow_1"
"HLA-C",-0.530893873780262,12.346360495998,15.3421634560201,0.000429912545114691,0.00148757349681278,"CD8T_LOMGlow_1"
"PPP3CC",-0.528639540494553,7.67114910591516,22.096252773854,3.43835597137556e-05,0.000160525036991981,"CD8T_LOMGlow_1"
"THEMIS",0.527484105847111,8.85559100257639,32.7264191847615,1.42606227214865e-06,1.03737739239092e-05,"CD8T_LOMGlow_1"
"NCOA3",0.526814946465667,6.64660488816389,21.3816855799444,4.35165511078552e-05,0.000197051145671067,"CD8T_LOMGlow_1"
"VCP",-0.518650031020813,7.97369576953183,42.5820051776369,1.14161983692105e-07,1.2229407020168e-06,"CD8T_LOMGlow_1"
"EID1",-0.51794784293452,8.0872035592017,26.2558335179,9.25092183818363e-06,5.14891165655488e-05,"CD8T_LOMGlow_1"
"PIN1",-0.514820818131748,7.25214726708363,32.3353186895619,1.58827337930475e-06,1.13947686478561e-05,"CD8T_LOMGlow_1"
"EIF4B",0.514799662620775,9.40819409521245,50.5467966799185,1.85877798140155e-08,2.85012623814904e-07,"CD8T_LOMGlow_1"
"AP1M1",0.514347051705068,7.23742349462515,20.1910140075351,6.48931877390418e-05,0.000278062864722908,"CD8T_LOMGlow_1"
"PRELID1",-0.513574507461423,8.09876430004636,23.1048909298668,2.4786201407657e-05,0.000122676009498657,"CD8T_LOMGlow_1"
"TSPAN32",0.513108204877103,7.22442064255728,17.2279072677236,0.000182821786516991,0.000704269148060527,"CD8T_LOMGlow_1"
"KAT8",0.510427741405727,6.57912221685691,26.4724154109548,8.66178222991575e-06,4.83822407413865e-05,"CD8T_LOMGlow_1"
"BTG1",0.51038753431942,11.2325890842015,14.8552037468529,0.000508424225475453,0.00169886909545519,"CD8T_LOMGlow_1"
"ARPC2",-0.507880225857421,9.78465202477277,43.1367518677489,1.00009766271047e-07,1.10151601723886e-06,"CD8T_LOMGlow_1"
"PSMD8",-0.507607049514302,7.73443851200945,33.2480112444685,1.23642199358486e-06,9.25245932041493e-06,"CD8T_LOMGlow_1"
"C12orf57",0.50759372588143,10.1118285900852,51.5115597385919,1.50929879771065e-08,2.45889929127026e-07,"CD8T_LOMGlow_1"
"HIVEP2",0.507383645678249,7.13285916120011,15.7120312435656,0.000318399958594723,0.00113434518278393,"CD8T_LOMGlow_1"
"NUMA1",0.506525179930339,6.80086056123203,22.1622106315072,3.3649272329089e-05,0.000158995353240771,"CD8T_LOMGlow_1"
"NBEAL1",0.506041730331447,6.95153434752278,17.3099138127023,0.000177505540611154,0.000687174914643181,"CD8T_LOMGlow_1"
"EEF2",0.505016524460804,11.5399471559131,29.5621940715828,3.47399788085501e-06,2.22920119173983e-05,"CD8T_LOMGlow_1"
"CALM1",-0.503699283603344,10.6415195772996,66.9140671985654,7.19413827600811e-10,1.84452987929126e-08,"CD8T_LOMGlow_1"
"RPN1",-0.503106420053307,7.660820168942,38.6331955330148,3.01314995062434e-07,2.70837156481406e-06,"CD8T_LOMGlow_1"
"TAF1D",0.500545855457388,7.85671479800788,32.4175833205257,1.55260562310297e-06,1.11902082697375e-05,"CD8T_LOMGlow_1"
"ESD",0.497896347511995,7.03179483469794,20.5626230189255,5.72286839394679e-05,0.000250716139163383,"CD8T_LOMGlow_1"
"SVIP",0.497533318059771,7.59235382849522,23.6022088343832,2.11384479308046e-05,0.000107689031152373,"CD8T_LOMGlow_1"
"PPIL4",0.497007395515865,6.61638537948409,23.5346822942922,2.15985503580712e-05,0.000108968170193624,"CD8T_LOMGlow_1"
"STAT1",0.49439487758667,7.85713434321186,6.12869838089565,0.0189812249386511,0.0401170754108788,"CD8T_LOMGlow_1"
"EIF1AX",0.492546302997097,7.72435760061967,18.539205199715,0.000114726576295516,0.000470265613988927,"CD8T_LOMGlow_1"
"SPCS2",-0.489341261077581,8.15919575668017,23.2550074699965,2.36197863234236e-05,0.000117900249631252,"CD8T_LOMGlow_1"
"TPT1",0.488177246029203,13.6479203769013,27.6058839574018,6.16197469991647e-06,3.63672770968655e-05,"CD8T_LOMGlow_1"
"IFITM2",-0.486336120212274,9.86163619075796,21.7424883666167,4.11771869975131e-05,0.000188859590803843,"CD8T_LOMGlow_1"
"XBP1",-0.485260346485793,7.97406469171075,24.633176855182,1.52642382791359e-05,8.06529346911101e-05,"CD8T_LOMGlow_1"
"RASGRP2",0.485100001392533,8.41218354131358,21.2491736093587,4.54753497698828e-05,0.000204966706167426,"CD8T_LOMGlow_1"
"COX4I1",0.484653540358909,10.997117132634,63.0499044827652,1.47521942721776e-09,3.16060710160079e-08,"CD8T_LOMGlow_1"
"MTPN",-0.481229955677787,7.5290616463229,20.8907655975116,5.1254707583872e-05,0.00022838279960449,"CD8T_LOMGlow_1"
"COMMD6",0.481038546891984,10.2804653840852,64.9914339168266,1.02483664977717e-09,2.35712429448749e-08,"CD8T_LOMGlow_1"
"FKBP11",-0.480471246258137,7.33328002347392,16.0851402216484,0.000277294580567853,0.00101606551715463,"CD8T_LOMGlow_1"
"FBRS",0.480465719701194,6.72659132301198,20.7265532369618,5.41573053691021e-05,0.000238597255203594,"CD8T_LOMGlow_1"
"HERPUD2",-0.480066265214767,7.33996472506462,21.3763858421949,4.35931562673844e-05,0.000197051145671067,"CD8T_LOMGlow_1"
"CCDC66",0.478393084123717,6.6276498262985,17.4410581360104,0.000169340915294946,0.000660471799304978,"CD8T_LOMGlow_1"
"TRIM44",0.478103662143906,7.01150772103594,17.3223957229479,0.00017671082238644,0.000685795846680873,"CD8T_LOMGlow_1"
"LRPPRC",0.477691437004786,6.86898359664372,22.3399031784823,3.17522924512565e-05,0.000151867233620077,"CD8T_LOMGlow_1"
"USP11",0.477384114465869,7.05474643690429,19.0968761508664,9.44528700508461e-05,0.000393931436692062,"CD8T_LOMGlow_1"
"OCIAD2",0.476257951004032,7.8028393083846,22.2758983975802,3.24222294385207e-05,0.000154598679395873,"CD8T_LOMGlow_1"
"TPP2",0.475865110357651,7.18921048895305,26.9120233665332,7.5843677060871e-06,4.29780836678269e-05,"CD8T_LOMGlow_1"
"SAT1",-0.474787832691677,7.57413051297412,16.3264140958207,0.000253733671539598,0.000940377872720217,"CD8T_LOMGlow_1"
"ALG13",0.473518463029902,6.74007240377451,20.3939989110435,6.05807553243783e-05,0.000262460668496752,"CD8T_LOMGlow_1"
"TMEM50A",-0.470348891852185,8.02127272593668,29.3506992162743,3.69284929451611e-06,2.35739440678498e-05,"CD8T_LOMGlow_1"
"MTR",0.470121942521029,6.33386577236038,17.0896347914069,0.000192170586413066,0.000731276878710547,"CD8T_LOMGlow_1"
"TMEM256",0.469918877064057,7.41815248689403,22.370405270902,3.14381859682223e-05,0.000150826143724846,"CD8T_LOMGlow_1"
"UBALD2",0.469107626658232,8.53119008335521,16.1945578477114,0.000277853100618804,0.00101606551715463,"CD8T_LOMGlow_1"
"ESYT2",0.46893619837505,7.45114807951638,14.8647478396665,0.000437658423673024,0.00151103261506536,"CD8T_LOMGlow_1"
"POMP",-0.465824970940544,7.64076769559172,22.4762337626665,3.03735790962919e-05,0.000147528812753418,"CD8T_LOMGlow_1"
"PIM1",0.46557026367521,8.2958029736026,11.2582844251441,0.00196174140843378,0.00551827978919143,"CD8T_LOMGlow_1"
"ANXA6",-0.464495106646635,8.92635362083458,22.9800557968406,2.580248482223e-05,0.00012690278698732,"CD8T_LOMGlow_1"
"HCST",-0.463567137227841,10.3546766835914,26.89473300512,7.62395518605229e-06,4.30464473320787e-05,"CD8T_LOMGlow_1"
"PSMA1",0.463040807198617,8.38206201031287,33.2947521684114,1.22077833176512e-06,9.17931399461848e-06,"CD8T_LOMGlow_1"
"NDUFB7",-0.462698054678111,7.81769468610831,16.843079689976,0.000210117944644305,0.000793778901989596,"CD8T_LOMGlow_1"
"UXT",0.462173750657216,9.06115354191503,43.5531748582226,9.0607497944562e-08,1.0343804874839e-06,"CD8T_LOMGlow_1"
"SEPTIN7",-0.461623960941076,9.29683525428842,32.1858824309068,1.6552938549261e-06,1.17143872810155e-05,"CD8T_LOMGlow_1"
"SFXN1",0.460181143562904,7.36188829607588,17.3519968174782,0.000174841140712673,0.000680227721578657,"CD8T_LOMGlow_1"
"JAK3",0.460126291242708,6.9770435355389,12.7923720104914,0.000978414279981438,0.00298292384774068,"CD8T_LOMGlow_1"
"HSPD1",0.459251525868702,8.14376448864834,15.0331211648282,0.00042096524862871,0.00145984401076564,"CD8T_LOMGlow_1"
"ANAPC16",0.45869908394096,9.1063260942184,35.9082453478534,6.07281446134538e-07,4.89581536986813e-06,"CD8T_LOMGlow_1"
"ANP32B",0.458423520490821,9.21506652274852,29.0268079045988,4.05664731404917e-06,2.53783855966916e-05,"CD8T_LOMGlow_1"
"MGAT4A",0.457464465304846,8.4624848179919,26.2385943937956,9.29959797833638e-06,5.15764937521919e-05,"CD8T_LOMGlow_1"
"SQSTM1",-0.456968263028661,7.92024744198842,25.5546365286607,1.14664307134008e-05,6.27045371879678e-05,"CD8T_LOMGlow_1"
"TAB2",0.454490640637129,7.52021600859695,13.0655769980422,0.000882787071770138,0.00275584626796107,"CD8T_LOMGlow_1"
"CD7",0.453327195068888,9.9872668827535,28.8232134155703,4.30452853127525e-06,2.68218431191812e-05,"CD8T_LOMGlow_1"
"EPC2",0.452756563630066,6.62927335085989,11.4615132831061,0.00167593280017768,0.00480065732505109,"CD8T_LOMGlow_1"
"NDUFA6",-0.451864229014686,7.5577776771458,15.0911394907019,0.000401757775724727,0.00139633146940772,"CD8T_LOMGlow_1"
"DOCK10",0.449644515645017,8.57576659181474,17.5646408737253,0.000162009972892177,0.000633458994008411,"CD8T_LOMGlow_1"
"RNF216",0.449392294704112,7.53694628587766,29.9843699959946,3.07703444610117e-06,1.9968804455196e-05,"CD8T_LOMGlow_1"
"FAM162A",0.4474810745488,7.26074820701554,22.9134109493978,2.63629715356293e-05,0.000129252938814182,"CD8T_LOMGlow_1"
"R3HDM2",0.445103694447262,7.68378312732888,27.0461261803806,7.28459866839283e-06,4.14869304896778e-05,"CD8T_LOMGlow_1"
"PACS1",0.444879151947174,8.04643566339718,24.2871883229721,1.70154058746125e-05,8.90036614979732e-05,"CD8T_LOMGlow_1"
"SRSF5",0.443036727952849,9.84408555463748,16.2552411565333,0.000280445311575124,0.00102003829605464,"CD8T_LOMGlow_1"
"LY6E",-0.442297754727993,9.15206640736624,27.7093069637834,5.97535067136668e-06,3.55340245247813e-05,"CD8T_LOMGlow_1"
"UBE2L3",-0.441964203128102,7.55442444548648,30.0619205316041,3.00947219963405e-06,1.96117271676152e-05,"CD8T_LOMGlow_1"
"TPM3",-0.441658475870775,9.76376075386316,32.5269952630947,1.50647125659439e-06,1.09079678023779e-05,"CD8T_LOMGlow_1"
"RAB1B",-0.441546841427637,7.43774508955643,17.1138556647174,0.000190497133669616,0.000726676870876292,"CD8T_LOMGlow_1"
"ZBTB7A",-0.441430390694904,7.6238288828084,19.6079518610571,7.91838335478355e-05,0.00033471220451031,"CD8T_LOMGlow_1"
"TTC3",0.440484095214225,7.94038984478608,14.4910899217297,0.000504546296125128,0.00168974391250471,"CD8T_LOMGlow_1"
"ST3GAL1",0.440473362806111,7.45025579898464,24.4308438525634,1.62638635804664e-05,8.5645396093769e-05,"CD8T_LOMGlow_1"
"CASP8",-0.44039469921542,7.69100716991873,20.481436367561,5.88174354762278e-05,0.000256240860960502,"CD8T_LOMGlow_1"
"MFNG",0.438054222964609,7.74313706734709,25.1970171123709,1.28060277038984e-05,6.95438448920039e-05,"CD8T_LOMGlow_1"
"SECISBP2",0.437590738982749,7.068819158105,18.3523030861076,0.00012251193046051,0.000492567247404212,"CD8T_LOMGlow_1"
"SPSB3",-0.437295722846016,7.48135729239602,18.4849972279155,0.000116929240260697,0.000476243051478462,"CD8T_LOMGlow_1"
"TPI1",-0.434098236285345,8.8874492650935,21.0607273633449,4.84229229242062e-05,0.000216381289867024,"CD8T_LOMGlow_1"
"DIAPH1",-0.433863783093367,7.5990890814853,13.3983783885882,0.000770182581032415,0.00246332424690122,"CD8T_LOMGlow_1"
"ATP6V1G1",0.433670575818838,9.13988997113537,38.0959597731486,3.45237903696946e-07,3.02276615008922e-06,"CD8T_LOMGlow_1"
"EIF4EBP2",-0.43320883475387,7.21413934166374,23.1651701322829,2.43106827129717e-05,0.000120704469089168,"CD8T_LOMGlow_1"
"NSMCE1",0.432619928564396,7.06508436427805,14.6869274572863,0.000468235186771472,0.00159895159849472,"CD8T_LOMGlow_1"
"TRAPPC10",-0.432242849967265,7.06179175049364,17.9608261941751,0.000140686879251263,0.000557048807972089,"CD8T_LOMGlow_1"
"C17orf49",-0.43205811741444,7.59631466169677,16.7289380980184,0.00021901943009593,0.000825412984747071,"CD8T_LOMGlow_1"
"GCC2",0.431280542214004,8.36085834254778,28.3077263561867,5.00636326756869e-06,3.05857505878025e-05,"CD8T_LOMGlow_1"
"CUTA",0.431203168482623,8.74951495193014,29.5584190637685,3.47778191038695e-06,2.22920119173983e-05,"CD8T_LOMGlow_1"
"HSP90AB1",0.430946510462662,10.5926283105927,47.1798186638753,3.91830009286615e-08,4.94211398809892e-07,"CD8T_LOMGlow_1"
"NDUFC2",-0.430876497251284,7.96520713674577,32.8124411005239,1.39278689006075e-06,1.01790593273599e-05,"CD8T_LOMGlow_1"
"LSP1",-0.430048336807441,9.73992130446056,33.865070265332,1.04585225601267e-06,7.97908745562836e-06,"CD8T_LOMGlow_1"
"THYN1",0.4299264746496,7.12739118651294,24.7626751944194,1.46586582401593e-05,7.82462166812599e-05,"CD8T_LOMGlow_1"
"PNISR",0.429302458759375,8.98940809008871,39.476729603081,2.43837614085613e-07,2.24330604958764e-06,"CD8T_LOMGlow_1"
"LIMD2",0.429123741692252,10.1331676175872,23.4122941799749,2.24596200464667e-05,0.000112948057082553,"CD8T_LOMGlow_1"
"PSMB6",-0.427815302747563,7.51583544813389,21.0685082916235,4.82973059282482e-05,0.000216381289867024,"CD8T_LOMGlow_1"
"IL2RG",-0.425008956651031,10.1813933462722,29.0814035014046,3.99276912427397e-06,2.50790799613032e-05,"CD8T_LOMGlow_1"
"SEC61G",-0.422414933586966,8.33705742711364,38.0877874536224,3.45955972420698e-07,3.02276615008922e-06,"CD8T_LOMGlow_1"
"UQCRB",0.421547877661553,10.2547681819724,43.6653899045893,8.82365672130137e-08,1.0222369712678e-06,"CD8T_LOMGlow_1"
"PPP4C",-0.420379516336424,7.62784902844369,14.8468846957856,0.000440632217480082,0.00151794887255253,"CD8T_LOMGlow_1"
"P2RY8",-0.420244134573279,7.99060068973349,13.9830868430072,0.000613368447337923,0.00199855885757607,"CD8T_LOMGlow_1"
"R3HDM4",0.419108603264522,7.48225765939056,16.0789997424443,0.000277923608534669,0.00101606551715463,"CD8T_LOMGlow_1"
"ZBTB25",0.418914129397835,6.804980781089,13.8667507863657,0.000641631982295893,0.00206909777383665,"CD8T_LOMGlow_1"
"ACADVL",-0.417265154411243,7.2563083285643,26.8000726949574,7.84458597842714e-06,4.39746683521866e-05,"CD8T_LOMGlow_1"
"COX7C",0.416962042854607,10.7351103216074,48.1967091036681,3.11819784613481e-08,4.27794862399548e-07,"CD8T_LOMGlow_1"
"DENND2D",0.416786884897813,8.19003964134087,8.76851754256951,0.00554251787603676,0.0136943095704921,"CD8T_LOMGlow_1"
"HSP90B1",-0.413979898090208,9.20619124912051,40.9618561159506,1.68960721313005e-07,1.68315011550026e-06,"CD8T_LOMGlow_1"
"B2M",-0.413622345759782,14.4839285719909,38.682864092141,2.97563058146466e-07,2.70574780779694e-06,"CD8T_LOMGlow_1"
"NR3C1",-0.412552253691788,7.46414598813129,16.077731304433,0.000278053734873517,0.00101606551715463,"CD8T_LOMGlow_1"
"OS9",-0.410653357441043,7.13665182750044,15.2794333803172,0.000374275149067597,0.00131248056758234,"CD8T_LOMGlow_1"
"CDC25B",-0.409958523709868,8.02170508673482,21.7001072297278,3.91650726944202e-05,0.000180159334394333,"CD8T_LOMGlow_1"
"RNF167",-0.407928404404029,7.86067472896506,17.6243495646592,0.000158589025088341,0.000621637181048034,"CD8T_LOMGlow_1"
"CTDSP1",-0.406737774563002,7.54667194340527,18.3384085594791,0.000123112589150187,0.000493713049822803,"CD8T_LOMGlow_1"
"SSNA1",-0.406109461475532,7.38531295312758,16.2671543441928,0.000259317134698111,0.000956537732707183,"CD8T_LOMGlow_1"
"WIPF1",-0.40582537604381,8.70298979384531,23.7227150980264,2.03428828088139e-05,0.000104315635124541,"CD8T_LOMGlow_1"
"BRD2",-0.405376566313609,7.53588764716359,17.2357327986138,0.000182307285866259,0.000704021222456368,"CD8T_LOMGlow_1"
"CFL1",-0.403789949297508,10.9791796440479,31.6508433434344,1.92077831688795e-06,1.32339087560033e-05,"CD8T_LOMGlow_1"
"AMBRA1",0.403643812367005,7.75944639730352,13.0386844181338,0.000887356909341372,0.00276459403627471,"CD8T_LOMGlow_1"
"MYL12B",-0.403429662751924,9.58571654865676,39.3899113308017,2.49179745815721e-07,2.27904749974145e-06,"CD8T_LOMGlow_1"
"PSME2",-0.402194482343524,8.83956317921993,12.017010397986,0.00136828563579277,0.00402255401199227,"CD8T_LOMGlow_1"
"NCK2",0.401401722217809,8.18380330035819,10.3742012891995,0.00272103344474799,0.00731219296836058,"CD8T_LOMGlow_1"
"ITFG2",0.400778373703766,6.88157636563892,17.1531102196828,0.000187817640063946,0.000719967620245128,"CD8T_LOMGlow_1"
"GNG5",-0.400040040233977,8.22509188697396,20.2273761267713,6.40974454019898e-05,0.000275407704968989,"CD8T_LOMGlow_1"
"PFDN5",0.399285513958496,11.0871576413113,27.442431431896,6.46956725203767e-06,3.77196872138539e-05,"CD8T_LOMGlow_1"
"GNB1",-0.398324838577194,8.03746077536155,20.8363640455515,5.21976570123418e-05,0.000231923680588928,"CD8T_LOMGlow_1"
"SDR39U1",0.397848796243554,6.87591689117623,11.2278863568209,0.00184546784282268,0.00523831525621537,"CD8T_LOMGlow_1"
"PPA1",0.397757017559291,7.88377480884635,7.14516274627744,0.011474413290847,0.0258960784803532,"CD8T_LOMGlow_1"
"SNRPB",-0.397555539313359,7.99904985937369,18.4987792308392,0.000116365022324085,0.000475182493250311,"CD8T_LOMGlow_1"
"ITGB7",-0.3957507192823,7.91410576665134,8.07730960474901,0.00738911537260543,0.0175899184821231,"CD8T_LOMGlow_1"
"FBL",0.393617011682049,8.36601407241845,19.8469392226926,7.29607118179203e-05,0.000310083025226161,"CD8T_LOMGlow_1"
"EEF1D",0.393034579624747,11.3746992477536,37.0395772262512,4.52494440350691e-07,3.80484572423914e-06,"CD8T_LOMGlow_1"
"OXA1L",0.392755573259364,7.51110113748726,16.0079748615603,0.000285310131326823,0.00103292834582211,"CD8T_LOMGlow_1"
